id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado
2,2026-02-16,2408,35,11,12,nan,"12,22","27.544,32"
10,2026-01-24,2281,69,13,3,791.38,"67,44",20710.00
26,2025-07-29,2295,71,11,4,614.46,"149,78",36670.97
31,2025-08-07,1847,45,4,2,nan,"229,13","117.309,88"
32,2025-07-28,388,22,6,4,822.52,-,nan
45,2025-12-11,2278,66,3,11,1539.37,240.41,"114,732.26"
48,2025-07-16,259,29,14,1,nan,46.88,55688.51
49,2025-08-11,1122,2,14,4,337.32,69.59,47210.14
50,2025-02-22,717,49,15,10,518.78,"86,45","66.871,99"
66,2025-03-04,1352,21,12,6,776.33,147.21,112829.12
73,2025-03-01,841,26,7,12,-,-,"33,023.90"
74,2025-01-04,2814,64,5,7,"1,809.88",358.53,279782.46
82,2025-07-18,2392,21,3,4,"0,00",83.63,"33,866.99"
99,2025-05-12,490,57,1,1,716.12,159.79,23929.67
104,2025-10-20,3524,7,11,8,149.44,10.64,"17,925.05"
113,2025-12-03,1715,34,3,6,nan,nan,nan
122,2025-08-02,318,41,12,5,726.10,161.45,-
123,2025-09-25,721,44,3,2,"1.879,38",437.85,-
132,2025-05-23,2110,34,12,11,"890,91","177,49",nan
140,2025-02-17,1227,48,8,5,"1.435,54",163.56,"44,225.55"
146,2025-12-23,2899,27,9,2,-,-,143545.57
154,2025-04-12,1023,24,4,5,nan,-,"73,105.67"
159,2025-09-04,1637,5,2,5,748.78,"82,65","84,100.56"
164,2026-01-16,851,50,13,9,501.92,"62,00",81059.40
166,2025-05-09,2302,35,4,12,"1.924,36",409.10,"50.238,70"
185,2026-01-04,1468,27,7,12,"1.852,09",243.81,"347,316.23"
190,2025-12-07,2854,70,13,4,953.96,-,"93.787,36"
191,2025-11-12,837,34,12,3,"1,076.04",173.48,144639.86
200,2026-02-12,239,79,11,1,1218.97,181.78,"225.902,31"
204,2025-11-27,2424,50,5,7,"1.614,32",388.18,80347.81
209,2026-02-07,1974,25,13,9,72.55,"18,01",nan
215,2025-02-26,483,71,7,1,nan,104.78,58056.65
221,2025-03-15,2725,80,11,1,"616,19",75.06,115464.32
230,2025-12-19,1245,6,13,3,238.50,nan,44718.94
237,2025-02-11,1137,37,6,3,nan,268.64,106698.49
243,2025-10-09,634,16,14,3,"1,585.52",283.81,nan
260,2025-01-14,971,57,13,6,"595,33",132.98,nan
277,2025-06-04,2165,16,13,12,"113,44",11.06,22028.53
280,2025-06-22,1387,76,1,4,154.59,23.60,19097.08
285,2025-07-06,2457,37,9,5,"1.159,92",229.02,119625.01
288,2025-07-06,1378,72,4,5,738.72,128.90,"59.480,36"
293,2025-10-28,175,24,15,1,nan,nan,"158.807,40"
306,2025-07-06,619,17,10,2,nan,"129,63","196,786.22"
317,2025-01-17,2621,19,2,8,70.91,17.25,-
322,2025-08-19,454,75,11,3,850.81,nan,166822.37
327,2025-06-30,184,7,8,6,256.39,36.77,17389.16
330,2025-07-15,2011,15,10,2,1158.76,nan,143147.74
