id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado,motivo_rechazo
1,,184,42,15,2,"829,53",nan,139253.11,fecha_emicion_vacio
2,2026-02-16,2408,35,11,12,nan,"12,22","27.544,32",
3,,540,42,4,9,1611.53,"92,05","173,298.36",fecha_emicion_vacio
4,,2821,40,10,5,1866.62,456.99,244461.27,fecha_emicion_vacio
5,,945,23,9,11,-,"324,08",123407.75,fecha_emicion_vacio
6,,1295,17,1,1,943.49,nan,71968.43,fecha_emicion_vacio
7,,1254,25,11,4,1400.82,188.40,258202.93,fecha_emicion_vacio
8,,887,77,3,8,1670.56,258.75,-,fecha_emicion_vacio
9,,1670,66,8,12,nan,"131,85",125804.84,fecha_emicion_vacio
10,2026-01-24,2281,69,13,3,791.38,"67,44",20710.00,
11,,2590,25,8,4,nan,-,-,fecha_emicion_vacio
12,,1521,14,11,5,726.02,-,86216.65,fecha_emicion_vacio
13,,1527,9,14,9,708.37,"105,04","27,042.54",fecha_emicion_vacio
14,,367,65,1,11,0.00,122.12,249504.31,fecha_emicion_vacio
15,,1954,62,13,4,"85,94",nan,"7,574.33",fecha_emicion_vacio
16,,424,19,5,11,-,39.07,-,fecha_emicion_vacio
17,,856,73,14,8,832.85,nan,94675.98,fecha_emicion_vacio
18,,123,75,2,5,-,39.57,"36.567,17",fecha_emicion_vacio
19,,1693,50,3,9,1257.43,237.20,106454.95,fecha_emicion_vacio
20,,522,32,1,3,487.69,"117,43",-,fecha_emicion_vacio
21,,179,34,2,9,"1,709.14","1,963.14",nan,fecha_emicion_vacio
22,,2160,71,5,5,nan,"172,42","124.757,66",fecha_emicion_vacio
23,,61,19,3,5,"1.403,46","112,05",163649.61,fecha_emicion_vacio
24,,302,15,15,9,nan,8.98,15865.44,fecha_emicion_vacio
25,,101,34,8,2,nan,"286,75",269942.16,fecha_emicion_vacio
26,2025-07-29,2295,71,11,4,614.46,"149,78",36670.97,
27,,352,30,3,6,-1290.55,179.37,162227.75,fecha_emicion_vacio
