Id_Siniestro,Id_Poliza,Fecha_Siniestro,Monto_Siniestro,Estado,motivo_rechazo
1,17400,2025-10-16,2092.59,Abierto,
2,2465,2025-08-01,"7,076.25",Abierto,
3,15785,2025-09-19,702.27,Cerrado,
4,14299,2025-09-27,274.63,Abierto,
5,12908,2025-12-01,"9,377.69",Rechazado,
6,5107,2026-02-10,"10,535.74",Nan,
7,3379,2025-08-16,"10,513.30",Abierto,
8,23824,2025-01-17,2736.20,Abierto,
9,18118,2025-08-27,nan,Cerrado,
10,19947,2025-09-12,8801.03,Cerrado,
11,6448,2025-05-31,"1.619,38",Abierto,
12,4096,2026-02-23,nan,Rechazado,
13,3716,2025-07-13,-4274.39,Rechazado,
14,8260,2025-09-08,nan,Nan,
15,19142,2025-01-29,14533.77,Abierto,
16,16312,2025-10-02,nan,Abierto,
17,2112,2025-08-01,"11.995,56",Cerrado,
18,4445,2025-05-23,-,Nan,
19,5547,2025-10-10,5714.06,Cerrado,
20,21508,2025-08-29,8867.02,Nan,
21,8637,2025-06-06,"4,335.01",Abierto,
22,6924,2025-11-16,10436.86,Cerrado,
23,5261,2025-10-15,6636.22,Abierto,
24,17180,2025-06-13,6183.83,Cerrado,
25,719,2025-12-25,3257.92,Nan,
26,7930,2025-12-10,1326.94,Abierto,
27,22625,2025-03-07,141.77,Nan,
28,3123,2025-10-08,nan,Cerrado,
29,18397,2025-12-19,1485.06,Abierto,
30,20396,2025-09-30,nan,Nan,
31,14500,2026-01-17,-,Cerrado,
32,20349,2025-06-13,"-6,166.30",Nan,
33,2231,2025-09-21,2443.90,Rechazado,
34,14393,2025-03-30,-,Cerrado,
35,15273,2025-01-03,"13,959.68",Cerrado,
36,16929,2025-01-06,3649.94,Cerrado,
37,504,2025-09-15,"1.143,51",Rechazado,
38,1202,2025-10-21,"2,154.09",Cerrado,
39,551,2025-03-26,-,Abierto,
40,8220,2025-04-30,"1.081,73",Cerrado,
41,4657,2025-12-25,"9.268,60",Nan,
42,3586,2026-01-31,"11,247.07",Nan,
43,11680,2025-05-13,10535.93,Cerrado,
44,17906,2025-06-22,"8.580,31",Abierto,
45,15100,2025-01-27,8761.24,Abierto,
46,2860,2025-07-13,-,Rechazado,
47,6904,2025-04-08,7795.35,Abierto,
48,503,2025-08-29,"3,740.29",Rechazado,
49,12852,2025-01-11,4828.13,Nan,
50,25778,2025-10-18,11437.50,Nan,
51,1344,2025-08-15,"14,278.06",Nan,
52,22187,2025-08-19,"4,886.00",Cerrado,
53,11106,2025-06-23,2182.44,Cerrado,
54,14544,2025-07-27,"2,132.56",Cerrado,
55,19232,2025-03-25,"5,517.33",Nan,
56,14610,2025-11-27,nan,Abierto,
57,11757,2025-09-04,"3.215,08",Cerrado,
58,9803,2025-03-23,-,Nan,
59,4806,2025-01-16,"2,856.71",Cerrado,
60,15711,2025-08-31,2916.65,Cerrado,
61,16070,2025-12-06,-,Nan,
62,14407,2025-04-05,"8.013,21",Cerrado,
63,22281,2025-07-07,nan,Nan,
64,10093,2025-11-30,"11.004,28",Cerrado,
65,19562,2025-05-29,"14,057.33",Cerrado,
66,14064,2025-03-25,9842.05,Abierto,
67,5049,2025-05-26,"13.723,01",Rechazado,
68,4916,2025-11-20,5792.24,Nan,
69,14892,2025-09-21,14508.66,Nan,
70,18587,2025-12-18,"5.912,93",Cerrado,
71,19836,2025-01-14,5377.67,Nan,
72,23320,2026-02-20,"7,245.79",Nan,
73,14099,2025-09-05,11459.27,Abierto,
74,3314,2025-10-23,14502.38,Cerrado,
75,9867,2025-08-16,"1.888,27",Abierto,
76,18282,2025-08-02,nan,Nan,
77,8700,2025-09-05,"9.948,91",Abierto,
78,4535,2026-02-12,"8,534.49",Cerrado,
79,7460,2025-08-21,11711.43,Cerrado,
80,23359,2025-02-24,nan,Nan,
81,10359,2025-10-20,nan,Cerrado,
82,4048,2026-02-21,9909.58,Nan,
83,16988,2025-07-07,"14.090,71",Nan,
84,2227,2025-09-26,"10.158,82",Abierto,
85,7153,2026-01-23,5079.34,Nan,
86,25554,2025-03-13,-,Nan,
87,23591,2025-03-09,1777.81,Abierto,
88,14027,2025-03-18,10253.14,Abierto,
89,12761,2025-04-22,"14.870,71",Abierto,
90,21277,2025-05-21,6602.43,Rechazado,
91,80,2025-12-09,"12.229,82",Abierto,
92,13736,2025-03-28,nan,Nan,
93,1928,2025-01-31,12706.47,Abierto,
94,15160,2025-01-14,"3,322.55",Nan,
95,17219,2025-04-01,4580.14,Nan,
96,17713,2026-02-21,"7,797.66",Abierto,
97,13086,2025-01-01,-,Rechazado,
98,19925,2025-01-25,"1.228,19",Nan,
99,18399,2025-06-27,"2.077,75",Cerrado,
100,24052,2025-03-16,"2.342,67",Nan,
101,24142,2025-06-21,1602.59,Abierto,
102,8858,2025-01-16,5155.20,Cerrado,
103,19170,2026-02-01,10183.94,Nan,
104,1153,2025-02-05,2580.40,Nan,
105,19541,2025-09-28,4267.91,Cerrado,
106,2501,2025-11-29,511.10,Abierto,
107,17613,2025-06-20,11560.34,Nan,
108,1500,2025-01-01,nan,Abierto,
109,9413,2025-07-21,"4.356,60",Cerrado,
110,16745,2025-03-27,8484.21,Abierto,
111,2641,2025-04-12,11886.43,Cerrado,
112,6548,2025-10-27,13134.70,Cerrado,
113,8649,2026-01-22,10126.28,Abierto,
114,5370,2025-03-10,"7,762.70",Cerrado,
115,24834,2025-10-08,12189.58,Abierto,
116,8222,2025-05-04,-,Abierto,
117,12941,2025-12-12,nan,Abierto,
118,21719,2025-02-28,nan,Abierto,
119,1874,2025-07-26,"5,171.14",Nan,
120,21805,2025-12-07,"12,403.48",Abierto,
121,3645,2025-10-04,13084.42,Rechazado,
122,16832,2025-09-03,7489.48,Nan,
123,8567,2025-09-22,5749.70,Rechazado,
124,4535,2025-12-15,9389.56,Nan,
125,17509,2025-11-09,1154.08,Cerrado,
126,13007,2025-10-17,13629.62,Rechazado,
127,424,2025-07-29,1595.62,Cerrado,
128,24167,2025-09-15,nan,Nan,
129,8836,2025-02-03,1652.79,Abierto,
130,14357,2025-08-30,nan,Rechazado,
131,21837,2025-09-05,"13,932.10",Nan,
132,1290,2025-03-01,"9,918.51",Nan,
133,5720,2025-02-28,-,Abierto,
134,7223,2025-04-22,-,Abierto,
135,24992,2025-02-08,302.32,Abierto,
136,9670,2025-05-31,"6.040,15",Cerrado,
137,23959,2025-05-26,13295.74,Cerrado,
138,22384,2025-11-10,"9.051,84",Abierto,
139,21305,2025-12-12,12134.64,Rechazado,
